Destination;Aktivitet;Kurs/besökande skola;Enhet;
Wien, Österrike ;Kurs;Successful Strategies for Teaching Students with Special Needs in Every Classroom;Ribbaskolan F-6;Erasmus 
Split, Kroatien ;Kurs; Digital Storytelling  ;Ribbaskolan F-6;Erasmus 
Hankasalmi, Finland;JS;Kuuhankaveden koulu;Ribbaskolan 7-9;Erasmus 
Barcelona, Spanien;Kurs;Spanish Language Course (Intermediate Level);Ribbaskolan 7-9;Erasmus 
Bryssel, Belgien;Studiebesök;EU Studiebesök;Ribbaskolan 7-9;Erasmus 
Bryssel, Belgien;Studiebesök;EU Studiebesök;Ribbaskolan F-6;Erasmus 
Florence, Italien;Kurs;Leadership and management for school principals;Sanda anpassade skola;Erasmus 
Bryssel, Belgien;Studiebesök;EU Studiebesök;Sanda idrottshögstadium;Erasmus 
Hannover, Tyskland;Jobbskugga;Grundschule auf dem Loh ;Landsjöskolan;Erasmus 
Murcia, Spanien;Jobbskugga;Santa Rosa de Lima, Murcia ;Södergårdsskolan;Erasmus 
Barcelona, Spanien;Kurs;Coaching and Mentoring to Support teachers ;Södergårdsskolan;Erasmus 
Kalamata, Grekland;Kurs; Special needs education: A step-by-step approach ; Tahe  ;Erasmus 
Teneriffa, Spanien;Kurs; Conflict Management, Emotional Intelligence and Bullying Prevention ; Tahe  ;Erasmus 
Hannover, Tyskland;Jobbskugga;Grundschule Am Stöckener Bach;Talavidskolan;Erasmus 
Aten, Grekland;Kurs; We are all special: Inclusion and support  ; Talavidskolan ;Erasmus 
Bryssel, Belgien;Studiebesök;EU Studiebesök;Tenhultskolan;Erasmus 
Split, Kroatien;Kurs;Successful Strategies for Teaching Students with Special Needs in Every Classroom;Torpaskolan;Erasmus 
Amsterdam, Nederländerna ;Jobbskugga;HET abc (särbegåvning);Torpaskolan;Erasmus 
Amsterdam, Nederländerna ;Jobbskugga;HET abc (särbegåvning);Torps skola;Erasmus 
Florence, Italien;Kurs;Understanding ... ASD and ADHD;Torps skola;Erasmus 
Hannover, Tyskland;Jobbskugga;Grundschule Wasserkampstraße;UBF;Erasmus 
Bryssel, Belgien;Studiebesök;EU Studiebesök;UBF;Erasmus 
Bryssel, Belgien;Studiebesök;EU Studiebesök;UBF;Erasmus 
Fado, Portugal ;Kurs;Intercultural Project Management - Know How & Networking with Digital Media;UBF;Erasmus 
Kalamata, Grekland;Kurs;Special needs education: A step-by-step approach;Österängsskolan;Erasmus 
Hannover, Tyskland;Jobbskugga;Grundschule Wasserkampstraße;Österängsskolan;Erasmus 
Split, Kroatien;Kurs;Successful Strategies for Teaching Students with Special Needs in Every Classroom;Österängsskolan anpassad grundskola;Erasmus 
Murica, Spanien;Jobbskugga;ceip Santa Rosa de Lima ;Öxnehagaskolan;Erasmus 
Split, Kroatien;Kurs;Successful Strategies for Teaching Students with Special Needs in Every Classroom;Öxnehagaskolan;Erasmus 
Sönderborg, Danmark;Jobbskugga;Nybøl Børneunivers ;Öxnehagaskolan;Erasmus 
Kalamata, Grekland;Kurs; Special needs education: A step-by-step approach ; Öxnehagaskolan ;Erasmus 
Maroussi, Grekland;Jobbskugga;4th Lyceum of Amarousio;Öxnehagaskolan;Erasmus 
Stellenbosch, Sydafrika ;Atlas planering ;Normstorm projekt ;Alfred Dalin ;Atlas 
Sönderborg, Danmark;Studiebesök;Accessible and equivalence for all students: a study visit to Sønderborg;Modersmålsenheten;Nordplus 
Sönderborg, Danmark;Studiebesök;Accessible and equivalence for all students: a study visit to Sønderborg;Rosenlundsskolan ;Nordplus 
Sönderborg, Danmark;Studiebesök;Accessible and equivalence for all students: a study visit to Sønderborg;Öxnehagaskolan;Nordplus 
Sönderborg, Danmark;Studiebesök;Accessible and equivalence for all students: a study visit to Sønderborg;UBF;Nordplus 
Sönderborg, Danmark;Studiebesök;Accessible and equivalence for all students: a study visit to Sønderborg;Ekhagsskolan ;Nordplus 
Siglufjörður, Islandia;Planering;Working with reading progression in elementary and secondary schools;Ribbaskolan 7-9;Nordplus 
Hankasalmi, Finland;Planering;Working with reading progression in elementary and secondary schools;Ribbaskolan 7-9;Nordplus 
Hankasalmi, Finland;Elevresa;Sharing the mystic of Nordic literature between high school students;Ribbaskolan 7-9;Nordplus 
Siglufjörður, Islandia;Elevresa;Sharing the mystic of Nordic literature between high school students;Ribbaskolan 7-9;Nordplus 
Reykjavík, Island ;Kontaktseminarium ;Participation list and contact information related to different themes and topics;Modersmålsenheten;Nordplus 
Akureyri, Island ;Kontaktseminarium ;Rural Inclusion in Erasmus+;Ribbaskolan 7-9;TCA 
Luxemburg;Kontaktseminarium ;Creative use of learning applications in school education;Öxnehagaskolan;TCA 
Mikkeli, Finland ;Kontaktseminarium ;Together! - Inclusive Classroom and Digitally Supported Learning;Talavidskolan;TCA 
Dublin, Irland ;Kontaktseminarium ;Supporting Home Languages and the Languages of Schooling with Erasmus+;Modersmålsenheten;TCA 
Stockholm, Sverige ;Kontaktseminarium ;Europeiska språkdagen;Modersmålsenheten;TCA 
Stockholm, Sverige ;Kontaktseminarium ;Europeiska språkdagen;Ribbaskolan 7-9;TCA 
Stockholm, Sverige ;Kontaktseminarium ;Europeiska språkdagen;Flahultskolan;TCA 
Stockholm, Sverige ;Kontaktseminarium ;Europeiska språkdagen;Mottagningsenheten;TCA 
